startTime,endTime,latitude,longitude
2023-12-10 18:10:29,2023-12-10 18:11:29,50.0674695219808,19.913932361282
2023-12-10 18:14:15,2023-12-10 18:15:15,50.0674695219808,19.913932361282
2023-12-10 18:35:29,2023-12-10 18:36:19,50.0674695219808,19.913932361282
2023-12-10 18:35:14,2023-12-10 18:35:24,50.0701104494247,19.9165006866128
2023-12-10 18:13:15,2023-12-10 18:13:45,50.0697923679065,19.9183743282418
2023-12-10 18:13:45,2023-12-10 18:14:15,50.0695282065868,19.9183361265934
2023-12-10 18:14:05,2023-12-10 18:14:35,50.069290734673,19.9183059860067
2023-12-10 18:12:55,2023-12-10 18:13:25,50.0700066314259,19.9184033151197
2023-12-10 18:12:25,2023-12-10 18:12:55,50.0703070579684,19.9184351138802
2023-12-10 18:12:15,2023-12-10 18:12:35,50.0704817607159,19.9184063180889
2023-12-10 18:10:35,2023-12-10 18:10:55,50.0711453056527,19.9190514729767
2023-12-10 18:11:05,2023-12-10 18:11:35,50.070866604587,19.9188712404318
2023-12-10 18:11:45,2023-12-10 18:12:15,50.0706013677604,19.9186982508615
2023-12-10 18:11:55,2023-12-10 18:12:35,50.0703901639245,19.9187274473768
2023-12-10 18:01:05,2023-12-10 18:01:35,50.069169039821,19.920716207827
2023-12-10 18:00:45,2023-12-10 18:01:05,50.0694395272638,19.9206999390885
2023-12-10 18:00:15,2023-12-10 18:00:45,50.0696983258178,19.9206836531175
2023-12-10 17:59:45,2023-12-10 18:00:05,50.0700377867895,19.9209295825611
2023-12-10 17:59:55,2023-12-10 18:00:25,50.0697868766043,19.9209916502081
2023-12-10 18:07:36,2023-12-10 18:07:56,50.0676041468606,19.9143098347171
2023-12-10 18:11:23,2023-12-10 18:11:33,50.0676041468606,19.9143098347171
2023-12-10 18:11:29,2023-12-10 18:12:29,50.0674689644649,19.9144879169585
2023-12-10 18:13:15,2023-12-10 18:14:15,50.0674689644649,19.9144879169585
2023-12-10 18:34:29,2023-12-10 18:35:19,50.0674689644649,19.9144879169585
2023-12-10 18:08:06,2023-12-10 18:08:26,50.0675270799405,19.9146932053798
